Achromobacter xylosoxidans
Acinetobacter baumannii
Aeromonas hydrophila
Aeromonas shubertii
Aeromonas veronii
Aggregatibacter aphrophilus
Bacteroides acidifaciens
Bacteroides fragilis
Bacteroides gracilis
Bacteroides melaninogenicus
Bacteroides oris
Bacteroides ovatus
Bacteroides pyogenes
Bacteroides stercoris
Bacteroides vulgatus
Bartonella bacilliformis
Bartonella henselae
Bartonella Quintana
Bordetella pertussis
Bordetella pertussis
Branhamella catarrhalis
Branhamella catarrhalis
Brucella abortus
Brucella canis
Brucella melitensis
Brucella suis
Burkholderia cepacia
Burkholderia pseudomallei
Campylobacter fetus
Campylobacter jejuni
Capnocytophaga canimorsus
Capnocytophaga ochracea
Chryseobacterium meningosepticum
Citrobacter freundii
Citrobacter koseri
Eikenella corrodens
Elizabethkingia meningoseptica
Enterobacter aerogenes
Enterobacter cloacae
Escherichia coli
Francisella tularensis
Fusobacterium necrophorum
Haemophilus aphrophilus
Haemophilus avium
Haemophilus ducreyi
Haemophilus influenzae
Helicobacter pylori
Klebsiella ozaenae
Klebsiella pneumoniae
Klebsiella rhinoscleromatis
Legionella pneumophila
Moraxella catarrhalis
Moraxella catarrhalis
Morganella morganii
Neisseria gonorrhoeae
Neisseria meningitidis
Pasteurella multocida
Plesiomonas shigelloides
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Proteus vulgaris
Providencia stuartii
Providencia_rettgeri
Pseudomonas aeruginosa
Pseudomonas cepacia
Pseudomonas maltophilia
Pseudomonas pseudomallei
Salmonella enterica
Serratia marcescens
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Stenotrophomonas maltophilia
Vibrio cholera
Vibrio damsela
Vibrio parahaemolyticus
