Actinomyces israelii
Arcanobacterium haemolyticum
Bacillus anthracis
Bacillus cereus
Bacillus subtilis
Clostridium difficile
Clostridium perfringens
Clostridium tetani
Corynebacterium diphtheria
Corynebacterium equi
Corynebacterium haemolyticum
Corynebacterium jeikeium
Corynebacterium urealyticum
Enterococcus faecalis
Enterococcus faecium
Erysipelothrix rhusiopathiae
Lactobacillus acidophilus
Lactobacillus brevis
Lactobacillus buchneri
Lactobacillus casei
Lactobacillus fermentum
Lactobacillus gallinarum
Lactobacillus gasseri
Lactobacillus species
Leuconostoc
Listeria monocytogenes
Nocardia asteroides
Nocardia brasiliensis
Prescottia equi
Propionibacterium acnes
Rhodococcus equi
Staphylococcus aureus
Staphylococcus capitis
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus hominis
Staphylococcus lugdunensis
Staphylococcus saprophyticus
Streptobacillus moniliformis
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus anginosus
Streptococcus constellatus
Streptococcus intermedius
Streptococcus milleri
Streptococcus pneumoniae
Streptococcus pyogenes
