#taxgroup	gpipe_taxgroup	number_of_nucl_ref_genes
Acinetobacter_baumannii	Acinetobacter	0
Campylobacter	Campylobacter	2
Enterococcus_faecalis	Enterococcus_faecalis	0
Enterococcus_faecium	Enterococcus_faecium	0
Escherichia	Escherichia_coli_Shigella	5
Klebsiella	Klebsiella	0
Salmonella	Salmonella	1
Staphylococcus_aureus	Staphylococcus_aureus	1
Staphylococcus_pseudintermedius	Staphylococcus_pseudintermedius	0
Streptococcus_agalactiae	Streptococcus_agalactiae	0
Streptococcus_pneumoniae	Streptococcus_pneumoniae	1
Streptococcus_pyogenes	Streptococcus_pyogenes	0
Vibrio_cholerae	Vibrio_cholerae	0
